用户名,评分,内容
风吹过你的笑容,10,这篇书评可能有关键情节透露                        因为看剧集，补了一下小说，发现小说垮得一塌糊涂。 这个所谓高智商犯罪也太不把警察当回事了，办案民警写得跟白痴一样。整个犯罪链条上漏洞百出，充满了主观臆想和对警察这个职业的误解。 先总结：作者对警察探案的技术知之甚少，文中所谓“高智商犯罪”，实际上智商相当堪忧...                                            
蓝莓兔子,50,                        文/蓝莓兔子 暑假即将收尾时收到这本《坏小孩》。和紫金陈以往的任何一部作品一样，依旧是一次捧起来便无法停止的阅读，故事也是一如既往的精彩。虽然读完这本书只用了四个小时，然而在接下来的几天时间里，却一直精神恍惚，不断地回想故事中的情节，仿若走进了《坏小孩》的黑...                                            
临清流,20,这篇书评可能有关键情节透露                        太6了！这三个性别各异的孩子从小就显出了直男癌的本质，长大一定是个直男癌的好苗子！ 朱朝阳和普普的思维逻辑是相同的： 我爸出轨另娶对我不好——那都是因为他娶的女人是个bitch 我妈出轨对我不好——那是因为她是个bitch，她和野种都该死。 总而言之，不管谁出轨都是女人的...                                            
妖刀小沈,40,这篇书评可能有关键情节透露                        紫金陈又出新书了，而且还是作者和读者都颇为期待的据说是转型之作---<坏小孩> 关于作者在很多读者心中的固有类型-----这个在天涯以谋杀官员出道干下多少让我等屁民大快人心的替天行道仗义之事的家伙从推理之王系列开始，他把笔下的题才伸到了更深广的尘世角落，死者也终于不限...                                            
WXZ03952,50,这篇书评可能有关键情节透露                        有没有人注意到“朝阳”与“东升”这两个名字是有关联的？  在我看来这是紫金大的暗示，朱朝阳与张东升其实是很相似的两个人。朱朝阳是小孩又有主角光环，让人觉得有几分可怜。但其实从被逼上杀人之路这点来说，两人都够悲催的。  两人的设定都是学霸，张东升是颜良（吐槽下这...                                            
wolf,50,这篇书评可能有关键情节透露                        这本书的结尾是开放性的，但朱朝阳的结局早已不是开放性的。 人生很多人和事的纠缠，都脱不开情与理，情是一个人个性的体现，也是人性的体现，理是生存的必须，是生活的法则。 而情大体是可以分为亲情、友情、爱情三大类的，而朱朝阳的结果已经是亲情、友情、爱情三杀的局面了...                                            
ak47汪汪汪,30,                        最近书荒，也不想看各种各样的外国人名，我索性看了点国产推理，《坏小孩》打分7.9，还算可以，但是看完之后，有些失望。 近些年来国产推理越来越火热，一开始所有的书都标榜自己是推理，之后因为国内读者水平在进步，知道自己早晚会被看穿，就开始宣称是悬疑推理。我在看了一...                                            
小米=qdmimi,40,                        其实关于“坏小孩”这个命题，看似禁忌，但无数黑人阴士多年来反复不断地在用，并且极易偏向两个极端：一是利用孩子的天真无知制造恐怖气氛和反差效果，例子如一半以上的恐怖电影和恐怖漫画，一是外形虽是小孩但内核各种高能，孩子只是个噱头，比如一休哥和阿童木（这一句是乱...                                            
酱油姬,20,                        包含剧透。 看了剧版慕名来读，据说堪称中国版白夜行，结果比较失望。两星半最多三星了。 首先文笔真的太白了，流水账式文风，看得出作者的野心，但作为一部想要展现人性的小说太缺乏艺术性和美感了。文化积累和人文底蕴上就有局限性。 人设和人物动机单薄失真，网文的纸片人问...                                            
避难所_,10,                        朋友问我:《坏小孩》好看吗？ 我说:很烂 朋友又问:有多烂？ 我说:比郭敬明的《悲伤逆流成河》还烂 朋友再说:换个比较，郭敬明我没看过 我说:这么讲吧，烂到我在还有三门专业课没考，两篇论文没写完的期末周，想给它专门写一篇论文来讲它有多烂。 这本书叫《坏小孩》，要我说这...                                            
叶扬 | 独眼,30,                        从故事的编排来说，《坏小孩》情节相当曲折，多个方向的人物都在跟随着自己的行动目的线索前进，杀死岳父母的“坏人”试图从三个“坏小孩”手里拿回证据，“坏小孩”里的“好小孩”试图解决自己的家庭问题并尽可能给自己一个如愿以偿的未来，中间节外生枝肯定在所难免，警察介...                                            
四月鹿April,50,这篇书评可能有关键情节透露                        之前看《圆桌派》，许子东说，区分一部文学作品是“严肃文学”还是“通俗文学”，最简单的一个办法就是看里面有没有“好人”和“坏人”，面貌分明形象确切的那种“好人”与“坏人”——有的故事里的人，旗帜鲜明，一半是好人，一半是坏人，可能有几个人站在中间。而有的故事，...                                            
骑单车的女饼干,30,                        孩子说，我的错全是大人的错。 大人呢？则辩解，我的错全是社会的错。 读了这么多推理小说 ，有时候会疑心，现今的作者，真心爱的只有凶手。 具体到紫金陈这位作者，他的一系列作品，尤其是《谋官》系列，令人读毕，不适感异常强烈。 虐待虐杀时有所见，高智商的凶手大人坚持一...                                            
仙贝,10,                        因为电视剧才来看小说的，中途一度因为文笔看不下去，最后实在因为网上评价太高了，才看完的。 看完之后只想说：就这？剧情过于不合理了，这小说只能衬托出电视剧的改编有多好。 我几乎是两边一起看的，电视剧里的人设要完整太多了，所有逻辑都十分通顺，反观小说，我只觉得有...                                            
翊卫羽林中郎将,30,这篇书评可能有关键情节透露                        故事其实还凑合，逻辑上要是能在设定好一些的话就更好了。但是文笔嘛，真的难以恭维，简直就是地摊儿文学的水平，粗俗且流水账的表达只能一目十行的看，生怕一定神儿就看不下去。 在怎么原生家庭受母亲平时言语影响，也不能从一个十三岁少年的嘴里不停的冒出“婊子”、“小婊子...                                            
Judy,10,                        如果说逻辑全无，文笔粗俗还能忍一忍的话，连常识都没有的作者真的没法忍。 连我这种外行小白都知道凶杀案是至少要尸检的，而尸检不是拿眼睛看一看就结束的常识，作者都不知道还学人家写推理小说？exm? 真的是黑人问号脸了…… 人家写完书被拍成剧都是仰天长叹一声，好好一本好...                                            
简,20,                        逻辑零分。书里面的警察和法医全部都被写成了废物。破案全凭道听途说。就最后一节。死了三个人。小孩划伤自己说是跟凶手搏斗过程受伤。凶手也在搏斗中死了。我想问警察勘查现场的时候都没看出来现场没有任何搏斗的痕迹吗，小孩自己的划伤和搏斗中受伤的划痕的方向能一样吗。哪...                                            
文若信,40,这篇书评可能有关键情节透露                        最近爆火的一部剧叫《隐秘的角落》，20万人评分高达9分，在国产剧烂片的浪潮中，也算是部良心高分剧了。 不过，今天阿文讲述的并非网剧本身，而是它的原著《坏小孩》，三个小孩和一个成年人，在暑假连续犯下的惊天大案，完全颠覆了小孩在我心中的印象，让人思之恐极。 没有人生...                                            
康愉子,40,                        《坏小孩》不同于陈大以往的推理小说，这一点作者早早就做过说明，大有“喜欢你就看，不喜欢拉倒”之势。确实，这是小众题材类作品，首先，选择小孩犯罪的题材，在犯罪手段选择上有明显局限性；其次，几乎没有悬念，谜底从一开始就是摊开来的，也就无所谓推理。光是这两点，对...                                            
避难所_,10,                        朋友问我:《坏小孩》好看吗？ 我说:很烂 朋友又问:有多烂？ 我说:比郭敬明的《悲伤逆流成河》还烂 朋友再说:换个比较，郭敬明我没看过 我说:这么讲吧，烂到我在还有三门专业课没考，两篇论文没写完的期末周，想给它专门写一篇论文来讲它有多烂。 这本书叫《坏小孩》，要我说这...                                            
叶扬 | 独眼,30,                        从故事的编排来说，《坏小孩》情节相当曲折，多个方向的人物都在跟随着自己的行动目的线索前进，杀死岳父母的“坏人”试图从三个“坏小孩”手里拿回证据，“坏小孩”里的“好小孩”试图解决自己的家庭问题并尽可能给自己一个如愿以偿的未来，中间节外生枝肯定在所难免，警察介...                                            
四月鹿April,50,这篇书评可能有关键情节透露                        之前看《圆桌派》，许子东说，区分一部文学作品是“严肃文学”还是“通俗文学”，最简单的一个办法就是看里面有没有“好人”和“坏人”，面貌分明形象确切的那种“好人”与“坏人”——有的故事里的人，旗帜鲜明，一半是好人，一半是坏人，可能有几个人站在中间。而有的故事，...                                            
